City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Olafsvik,64.8945,-23.7142,52.39,83,100,15.32,IS,1661731361
Punta Arenas,-53.15,-70.9167,46.11,65,100,12.84,CL,1661731348
San Patricio,28.017,-97.5169,89.46,64,6,14.25,US,1661731281
Kayerkan,69.3497,87.7602,30.52,100,66,9.35,RU,1661731362
Albany,42.6001,-73.9662,77.34,71,74,3.0,US,1661731075
Meulaboh,4.1363,96.1285,74.3,87,95,2.48,ID,1661731363
Barrow,71.2906,-156.7887,39.22,93,100,6.91,US,1661731363
Avarua,-21.2078,-159.775,78.85,73,78,8.05,CK,1661731363
Grand Gaube,-20.0064,57.6608,69.39,82,32,3.0,MU,1661731364
Hailar,49.2,119.7,60.82,54,8,6.42,CN,1661731364
Pervomayskiy,53.2485,40.2871,71.89,27,87,12.82,RU,1661731365
Cabo San Lucas,22.8909,-109.9124,90.61,74,37,11.41,MX,1661731205
Ucar,40.519,47.6542,71.47,46,0,2.64,AZ,1661731365
Pandan,14.0453,124.1694,83.77,76,95,3.65,PH,1661731366
Hobart,-42.8794,147.3294,61.27,69,100,4.0,AU,1661731204
Lebu,-37.6167,-73.65,48.11,89,1,10.8,CL,1661731366
Göksun,38.021,36.4973,65.05,38,0,4.03,TR,1661731367
Namatanai,-3.6667,152.4333,84.92,66,96,11.83,PG,1661731367
Saint Paul Harbor,57.79,-152.4072,56.71,82,100,4.61,US,1661731367
Tiksi,71.6872,128.8694,46.29,67,14,7.09,RU,1661731368
Clyde River,70.4692,-68.5914,38.98,86,99,3.44,CA,1661731368
Kirakira,-10.4544,161.9205,83.07,73,31,12.21,SB,1661731369
Hilo,19.7297,-155.09,87.28,76,46,5.99,US,1661731369
Chui,-33.6971,-53.4616,41.18,69,26,7.23,UY,1661731369
East London,-33.0153,27.9116,61.2,75,77,16.4,ZA,1661731370
Salinópolis,-0.6136,-47.3561,79.66,81,85,12.35,BR,1661731370
Bariloche,-41.1456,-71.3082,34.93,75,7,1.23,AR,1661731371
Port Hueneme,34.1478,-119.1951,85.46,73,0,13.8,US,1661731371
Saint George,37.1041,-113.5841,99.43,17,0,11.5,US,1661731244
Monticello,45.3055,-93.7941,78.93,78,100,5.75,US,1661731371
Padang,-0.9492,100.3543,73.45,90,99,2.13,ID,1661731176
Boulder City,35.9786,-114.8325,101.77,22,0,16.11,US,1661731372
Kavaratti,10.5669,72.642,80.62,79,66,21.7,IN,1661731262
Zomin,39.9606,68.3958,64.89,24,0,1.36,UZ,1661731373
Myaundzha,63.0494,147.1858,52.9,65,96,6.2,RU,1661731373
Bengkulu,-3.8004,102.2655,74.93,88,87,2.86,ID,1661731168
Hermanus,-34.4187,19.2345,53.01,79,5,8.3,ZA,1661731374
Mar del Plata,-38.0023,-57.5575,43.95,56,4,1.99,AR,1661731357
Puerto Ayora,-0.7393,-90.3518,68.56,90,93,5.99,EC,1661731374
Atuona,-9.8,-139.0333,77.22,70,9,21.39,PF,1661731375
Polyarny,69.1989,33.4478,47.07,86,31,6.44,RU,1661731375
Chernyshevskiy,63.0128,112.4714,42.19,87,74,10.09,RU,1661731376
Kindersley,51.4668,-109.1682,71.01,30,28,20.96,CA,1661731258
Cape Town,-33.9258,18.4232,49.91,79,1,2.37,ZA,1661731276
Shimokizukuri,40.8061,140.3861,76.95,57,58,2.19,JP,1661731376
Kumul,42.8,93.45,70.38,23,2,11.16,CN,1661731377
Ardakān,32.31,54.0175,71.82,10,0,5.28,IR,1661731377
Thompson,55.7435,-97.8558,73.2,62,98,5.97,CA,1661731377
Ajdabiya,30.7554,20.2263,82.11,51,0,12.26,LY,1661731378
Guerrero Negro,27.9769,-114.0611,74.17,70,8,18.28,MX,1661731378
Médéa,36.2642,2.7539,79.84,39,60,4.63,DZ,1661731379
Nikolskoye,59.7035,30.7861,66.09,67,94,1.74,RU,1661731379
Tuatapere,-46.1333,167.6833,54.7,58,4,1.52,NZ,1661731379
Hithadhoo,-0.6,73.0833,80.98,76,100,11.72,MV,1661731381
Banikoara,11.2985,2.4386,72.19,95,100,2.24,BJ,1661731381
Narsaq,60.9167,-46.05,43.02,91,100,1.92,GL,1661731382
Constitución,-35.3333,-72.4167,53.17,76,0,6.58,CL,1661731382
Codrington,-38.2667,141.9667,61.02,74,66,14.9,AU,1661731194
Tautira,-17.7333,-149.15,77.45,74,12,7.96,PF,1661731383
Leningradskiy,69.3833,178.4167,43.36,74,32,6.2,RU,1661731383
Khatanga,71.9667,102.5,37.17,77,83,7.02,RU,1661731344
Kaitangata,-46.2817,169.8464,51.46,63,7,2.13,NZ,1661731384
Iqaluit,63.7506,-68.5145,41.11,70,27,5.39,CA,1661731384
Westport,41.1415,-73.3579,76.12,84,12,10.0,US,1661731125
Praia,14.9215,-23.5087,78.35,82,83,15.68,CV,1661731307
Ribeira Grande,38.5167,-28.7,72.64,78,84,10.29,PT,1661731385
Dzhebariki-Khaya,62.2167,135.8,61.34,56,73,1.48,RU,1661731188
Khovd,48.0056,91.6419,52.93,58,50,2.89,MN,1661731385
Katsuura,35.1333,140.3,75.16,73,80,18.84,JP,1661731386
Hasaki,35.7333,140.8333,75.29,69,22,17.38,JP,1661731386
Alappuzha,9.49,76.3264,78.01,89,94,11.61,IN,1661731386
Mackay,-21.15,149.2,71.69,84,100,14.36,AU,1661731387
Chhor,25.5167,69.7667,78.51,80,99,8.77,PK,1661731387
Ola,59.5833,151.2833,55.15,93,100,4.99,RU,1661731388
Lüderitz,-26.6481,15.1594,52.93,69,0,19.55,NA,1661731128
Bathsheba,13.2167,-59.5167,82.24,78,28,14.03,BB,1661731289
Vaini,-21.2,-175.2,75.36,94,75,4.61,TO,1661731389
Port Hedland,-20.3167,118.5667,62.65,45,0,6.91,AU,1661731389
Luena,-11.7833,19.9167,65.32,55,58,1.34,AO,1661731389
Plettenberg Bay,-34.0527,23.3716,53.4,79,31,10.27,ZA,1661731390
Ballangen,68.3428,16.8315,50.22,81,75,6.91,NO,1661731390
New Norfolk,-42.7826,147.0587,60.93,64,100,1.01,AU,1661731390
Antofagasta,-23.65,-70.4,57.7,75,83,4.29,CL,1661731391
Hofn,64.2539,-15.2082,50.88,79,100,2.73,IS,1661731391
Kamenka,51.3223,42.7678,71.01,28,40,9.17,RU,1661731392
Srednekolymsk,67.45,153.6833,60.93,50,82,8.57,RU,1661731361
Yellowknife,62.456,-114.3525,57.99,66,98,5.12,CA,1661731392
Arlit,18.7369,7.3853,83.17,49,100,5.88,NE,1661731393
Ust-Nera,64.5667,143.2,55.15,62,92,1.48,RU,1661731393
Māndal,25.45,74.5667,74.77,77,99,5.01,IN,1661731394
Saskylakh,71.9167,114.0833,42.1,73,100,15.03,RU,1661731394
Innisfail,-17.5333,146.0333,71.29,95,96,11.18,AU,1661731395
Puerto El Triunfo,13.2833,-88.55,80.42,79,100,2.95,SV,1661731395
Arevashogh,40.8604,44.2744,60.78,51,0,1.72,AM,1661731395
Souillac,-20.5167,57.5167,70.52,82,40,11.86,MU,1661731290
Talnakh,69.4865,88.3972,31.21,93,40,11.23,RU,1661731133
Tura,25.5198,90.2201,73.18,97,93,3.74,IN,1661731396
Mayo,38.8876,-76.5119,85.12,81,6,1.99,US,1661731120
Manakara,-22.1333,48.0167,62.67,91,29,3.89,MG,1661731397
Mount Isa,-20.7333,139.5,78.57,61,75,11.5,AU,1661731397
Tyumentsevo,53.3224,81.498,50.68,66,10,5.59,RU,1661731398
Semporna,4.4818,118.6112,80.82,80,52,1.92,MY,1661731398
Riyadh,24.6877,46.7219,86.79,11,2,2.46,SA,1661731216
Taksimo,56.3444,114.8794,51.58,77,82,3.94,RU,1661731398
Kaeo,-35.1,173.7833,61.32,78,63,11.81,NZ,1661731399
Qaanaaq,77.484,-69.3632,29.26,72,79,0.78,GL,1661731399
Mocuba,-16.8392,36.9856,65.39,78,0,2.82,MZ,1661731400
Kavieng,-2.5744,150.7967,84.9,70,29,17.47,PG,1661731400
Lavrentiya,65.5833,-171.0,46.18,72,15,5.66,RU,1661731400
Butaritari,3.0707,172.7902,82.2,72,26,17.85,KI,1661731401
Itoigawa,37.0333,137.85,75.02,62,27,5.26,JP,1661731401
Norman Wells,65.282,-126.8329,64.65,54,100,6.64,CA,1661731402
El Ángel,0.6167,-77.9333,44.47,84,97,5.41,EC,1661731402
Walvis Bay,-22.9575,14.5053,50.95,81,0,4.61,NA,1661731178
George Town,5.4112,100.3354,77.9,89,20,0.0,MY,1661731403
Polunochnoye,60.8697,60.4153,58.21,83,2,3.89,RU,1661731403
Lompoc,34.6391,-120.4579,80.69,64,3,5.01,US,1661731273
Torbay,47.6666,-52.7314,61.75,78,1,4.0,CA,1661731404
Carnarvon,-24.8667,113.6333,59.81,51,0,17.11,AU,1661731404
Harrison,30.4091,-89.0436,84.27,83,0,8.05,US,1661731404
Kashmor,28.4333,69.5833,82.53,77,41,4.65,PK,1661731405
Sitka,57.0531,-135.33,58.89,88,100,3.44,US,1661731405
Tromsø,69.6496,18.957,50.02,81,100,11.5,NO,1661731406
Provideniya,64.3833,-173.3,46.51,81,100,8.95,RU,1661731406
Cassilândia,-19.1133,-51.7342,81.32,25,39,4.41,BR,1661731406
Mach,29.8637,67.3298,76.59,69,0,1.54,PK,1661731407
Waipawa,-41.4122,175.5153,46.69,66,93,8.14,NZ,1661731407
Ostrovnoy,68.0531,39.5131,50.13,83,22,10.09,RU,1661731407
Pervomayskoye,43.919,46.7102,76.23,49,0,18.66,RU,1661731408
Ondjiva,-17.0667,15.7333,65.35,20,0,6.78,AO,1661731408
Fortuna,40.5982,-124.1573,67.93,76,20,11.5,US,1661731409
Palmer,42.1584,-72.3287,74.95,77,20,3.44,US,1661731409
Ponta do Sol,32.6667,-17.1,70.43,73,42,1.48,PT,1661731409
Zhuhai,22.2769,113.5678,85.86,89,20,3.44,CN,1661731213
Imeni Poliny Osipenko,52.4201,136.4853,55.44,83,3,7.83,RU,1661731410
Belaya Gora,68.5333,146.4167,60.13,51,44,5.01,RU,1661731410
Venezuela,8.0,-66.0,81.81,69,66,7.11,VE,1661731398
Bolgatanga,10.7856,-0.8514,72.61,96,99,5.14,GH,1661731411
Tabas,33.5959,56.9244,72.99,14,0,3.42,IR,1661731412
Jining,35.405,116.5814,66.0,1,100,6.46,CN,1661731222
Salamanca,40.8333,-6.0,71.74,54,8,4.12,ES,1661731412
Cidreira,-30.1811,-50.2056,48.97,61,34,14.07,BR,1661731413
Severo-Yeniseyskiy,60.3725,93.0408,43.23,98,100,9.75,RU,1661731413
Aksarka,66.5606,67.7975,35.37,82,24,1.99,RU,1661731413
Thinadhoo,0.5333,72.9333,80.46,75,100,14.0,MV,1661731414
Tuktoyaktuk,69.4541,-133.0374,44.6,93,100,11.5,CA,1661731131
Jobat,22.4167,74.5667,73.54,83,94,4.99,IN,1661731414
Batagay-Alyta,67.8006,130.4114,47.03,73,82,2.77,RU,1661731415
Caravelas,-17.7125,-39.2481,71.01,84,0,7.07,BR,1661731415
Paamiut,61.994,-49.6678,42.46,77,100,11.83,GL,1661731415
Kristinestad,62.2743,21.376,54.48,70,100,5.61,FI,1661731416
Alofi,-19.0595,-169.9187,75.15,76,39,11.9,NU,1661731416
Waingapu,-9.6567,120.2641,79.88,73,57,12.15,ID,1661731417
Dikson,73.5069,80.5464,39.83,96,100,18.59,RU,1661731417
Bambous Virieux,-20.3428,57.7575,69.22,84,41,11.59,MU,1661731418
Vetluzhskiy,58.3902,45.4654,63.52,63,49,3.24,RU,1661731418
Muros,42.7762,-9.0603,64.69,90,39,1.45,ES,1661731418
Beitbridge,-22.2167,30.0,68.27,44,2,6.31,ZW,1661731419
Kysyl-Syr,63.8986,122.7617,49.78,93,100,4.0,RU,1661731419
Huarmey,-10.0681,-78.1522,62.58,84,2,8.72,PE,1661731420
Dolores,-36.3132,-57.6792,41.76,61,1,2.21,AR,1661731202
Lukulu,-14.3707,23.242,62.89,31,2,5.26,ZM,1661731420
Quirinópolis,-18.4483,-50.4517,79.92,26,13,2.26,BR,1661731420
Bilibino,68.0546,166.4372,58.89,56,100,2.04,RU,1661731421
Maniitsoq,65.4167,-52.9,44.19,71,23,8.95,GL,1661731421
Talara,-4.5772,-81.2719,63.46,85,5,17.11,PE,1661731422
Ixtapa,20.7,-105.2,85.23,74,40,11.5,MX,1661731422
Portland,45.5234,-122.6762,83.7,45,0,4.0,US,1661731155
Yzeure,46.5644,3.355,62.33,76,19,2.24,FR,1661731205
Sungai Raya,0.7,108.9,77.34,86,100,4.36,ID,1661731423
Yulara,-25.2406,130.9889,60.53,48,0,16.93,AU,1661731423
Paita,-5.0892,-81.1144,64.27,80,4,15.86,PE,1661731424
Saldanha,-33.0117,17.9442,54.9,74,2,8.63,ZA,1661731424
Lagoa,39.05,-27.9833,71.22,73,92,9.55,PT,1661731424
Camacha,33.0833,-16.3333,67.42,73,75,2.3,PT,1661731425
Paravola,38.6167,21.5167,75.96,78,21,2.68,GR,1661731425
Beidao,34.5686,105.8933,61.07,93,100,1.9,CN,1661731425
Sarkand,45.41,79.9186,57.0,42,0,4.23,KZ,1661731426
Houma,29.5958,-90.7195,86.0,82,40,5.75,US,1661731426
Hong Kong,22.2855,114.1577,87.19,84,100,4.0,HK,1661731381
São José da Coroa Grande,-8.8978,-35.1478,73.02,87,46,8.59,BR,1661731427
Dingle,10.9995,122.6711,81.57,82,82,2.68,PH,1661731427
Mossamedes,-15.1961,12.1522,61.59,81,87,2.86,AO,1661731128
Sorong,-0.8833,131.25,78.8,83,98,4.36,ID,1661731428
São Filipe,14.8961,-24.4956,77.16,82,46,12.48,CV,1661731428
Sangar,63.9242,127.4739,55.74,69,58,15.08,RU,1661731429
Umm Kaddadah,13.6017,26.6876,81.14,58,56,11.43,SD,1661731429
Örnsköldsvik,63.2909,18.7153,49.15,87,57,11.5,SE,1661731430
Gornyak,50.9942,81.4661,48.74,54,4,7.52,RU,1661731430
Ngawen,-7.0032,111.3129,73.96,73,75,7.78,ID,1661731430
Härnösand,62.6323,17.9379,52.0,70,90,12.5,SE,1661731431
Itarema,-2.9248,-39.9167,77.76,80,36,14.76,BR,1661731431
Jinxiang,27.4327,120.6062,82.0,79,18,2.73,CN,1661731432
Berlevåg,70.8578,29.0864,44.6,87,100,17.27,NO,1661731432
Cabedelo,-6.9811,-34.8339,74.07,85,8,12.53,BR,1661731432
Geraldton,-28.7667,114.6,52.21,87,100,8.05,AU,1661731409
Sakaiminato,35.55,133.2333,74.1,61,68,6.71,JP,1661731433
Malakal,9.5334,31.6605,69.76,97,89,1.7,SS,1661731433
Camaná,-16.6228,-72.7111,62.2,80,100,7.11,PE,1661731434
Methóni,36.8197,21.7049,78.22,81,0,13.0,GR,1661731434
Klaksvík,62.2266,-6.589,45.52,75,48,11.74,FO,1661731435
Bubaque,11.2833,-15.8333,77.94,87,100,9.33,GW,1661731435
Agüimes,27.9054,-15.4461,68.67,68,20,12.66,ES,1661731435
Pointe Michel,15.25,-61.3833,82.36,78,13,10.31,DM,1661731436
Vardø,70.3705,31.1107,46.38,93,100,14.97,NO,1661731436
Forsytheganj,52.6333,29.7333,61.48,58,100,5.73,BY,1661731436
Oodweyne,9.4092,45.064,74.28,52,38,11.61,SO,1661731437
Cayenne,4.9333,-52.3333,80.64,78,0,5.75,GF,1661731437
Taoudenni,22.6783,-3.9836,96.31,31,63,10.25,ML,1661731438
Cartagena,10.3997,-75.5144,80.44,79,86,5.32,CO,1661731223
Saint-Pierre,-21.3393,55.4781,71.28,75,0,3.44,RE,1661731438
Nome,64.5011,-165.4064,55.47,51,0,11.5,US,1661731438
Byumba,-1.5763,30.0675,57.4,90,97,2.62,RW,1661731439
Bilma,18.6853,12.9164,88.14,39,37,12.55,NE,1661731439
Buenos Aires,-34.6132,-58.3772,50.95,50,1,4.16,AR,1661731330
Saint-Philippe,-21.3585,55.7679,71.19,87,16,8.05,RE,1661731440
Lubao,14.9167,120.55,81.81,83,51,2.26,PH,1661731440
Cuamba,-14.8031,36.5372,65.93,40,4,4.45,MZ,1661731440
Ereymentau,51.6199,73.1033,52.2,52,0,3.29,KZ,1661731441
Tagusao,9.1924,117.8141,82.49,76,37,5.97,PH,1661731441
Coahuayana Viejo,18.7333,-103.6833,83.26,73,94,4.61,MX,1661731442
Ancud,-41.8697,-73.8203,41.5,83,71,5.44,CL,1661731358
Eyl,7.9803,49.8164,74.93,78,74,20.09,SO,1661731442
Algiers,36.7525,3.042,75.02,83,20,4.61,DZ,1661731171
Kaoma,-14.7833,24.8,60.69,38,1,6.17,ZM,1661731443
Daru,-9.0763,143.2092,80.15,88,46,13.13,PG,1661731443
Hirado,33.3597,129.5531,83.39,62,86,4.07,JP,1661731444
Sebastian,35.1668,-94.2669,86.59,55,55,2.68,US,1661731444
Adré,13.4667,22.2,68.49,90,54,2.01,TD,1661731445
Gadsden,34.0143,-86.0066,85.95,84,0,0.0,US,1661731357
Acapulco de Juárez,16.8634,-99.8901,82.27,77,73,2.26,MX,1661731190
Kampot,10.6167,104.1833,73.45,86,100,4.14,KH,1661731446
Pemangkat,1.1667,108.9667,77.4,85,100,4.99,ID,1661731446
Digboi,27.3833,95.6333,74.89,99,100,1.63,IN,1661731447
Shaowu,27.3409,117.4831,80.78,88,47,2.13,CN,1661731447
Puerto Baquerizo Moreno,-0.9,-89.6,68.02,82,100,11.97,EC,1661731365
Luganville,-15.5333,167.1667,78.3,85,87,14.9,VU,1661731448
Kanata,45.3159,-75.8985,77.63,72,89,5.08,CA,1661731205
Kenai,60.5544,-151.2583,62.69,76,75,6.91,US,1661731448
Poum,-20.2333,164.0167,74.23,76,49,9.44,NC,1661731449
Noumea,-22.2763,166.4572,75.18,99,93,13.49,NC,1661731441
Sept-Îles,50.2001,-66.3821,63.05,75,98,7.0,CA,1661731272
Eyemouth,55.8713,-2.0901,57.81,89,72,4.16,GB,1661731450
Nelson Bay,-32.7167,152.15,70.09,80,14,15.99,AU,1661731450
Visby,57.6409,18.296,64.06,82,100,16.11,SE,1661731451
La Tuque,47.4334,-72.7824,62.6,83,68,5.26,CA,1661731451
Port Macquarie,-31.4333,152.9167,64.89,94,40,5.75,AU,1661731451
Udarnyy,54.3409,42.8611,70.81,30,100,6.49,RU,1661731452
Catuday,16.2923,119.8062,81.27,78,88,5.77,PH,1661731452
Nguruka,-5.1092,31.0419,73.8,45,96,3.27,TZ,1661731453
Banda Aceh,5.5577,95.3222,78.22,74,54,8.43,ID,1661731453
Sežana,45.7092,13.8733,69.53,76,65,3.0,SI,1661731453
Tokur,53.1333,132.9,56.21,53,90,3.0,RU,1661731454
Yar-Sale,66.8333,70.8333,33.53,86,13,2.68,RU,1661731454
Sylvan Lake,52.3168,-114.0853,70.05,37,0,10.36,CA,1661731163
El Salvador,13.8333,-88.9167,76.05,95,100,2.21,SV,1661731455
Gagino,55.2314,45.0339,72.9,37,100,10.18,RU,1661731455
Marabu,4.4148,114.0089,77.52,90,99,4.43,MY,1661731456
Shubarkuduk,49.1447,56.4872,69.89,42,41,7.47,KZ,1661731213
Bethel,41.3712,-73.414,76.64,80,0,10.36,US,1661731456
Colares,38.7992,-9.4469,68.32,71,39,11.99,PT,1661731457
Diplo,24.4667,69.584,79.07,77,96,8.63,PK,1661731457
Upernavik,72.7868,-56.1549,37.33,83,37,15.48,GL,1661731457
Verkhoyansk,67.5447,133.385,55.49,51,44,1.25,RU,1661731211
Castro,-24.7911,-50.0119,59.23,92,86,9.06,BR,1661731458
Charters Towers,-20.1,146.2667,75.33,56,23,18.77,AU,1661731458
Nemuro,43.3236,145.575,66.13,84,18,5.53,JP,1661731459
Córdoba,-31.4135,-64.1811,55.18,34,0,9.22,AR,1661731407
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,58.17,24,100,9.6,AR,1661731459
Chokurdakh,70.6333,147.9167,53.17,53,98,9.57,RU,1661731460
Marsá Maţrūḩ,31.3525,27.2453,77.88,73,0,7.4,EG,1661731460
Malinovoye Ozero,51.6753,79.7825,52.81,57,2,3.91,RU,1661731461
Onega,63.9061,38.1404,58.5,99,79,2.59,RU,1661731461
Asău,46.4333,26.4,61.72,51,4,5.01,RO,1661731461
Nyurba,63.2842,118.3319,47.95,88,100,9.46,RU,1661731462
Ussel,45.55,2.3167,58.84,77,64,2.62,FR,1661731462
Kudahuvadhoo,2.6708,72.8944,78.55,84,100,14.92,MV,1661731463
Mitú,1.1983,-70.1733,72.66,98,100,1.45,CO,1661731463
Menzel Salem,35.8567,8.4765,76.95,53,5,4.59,TN,1661731463
Fort Nelson,58.8053,-122.7002,70.3,33,70,2.8,CA,1661731254
Sennar,13.5691,33.5672,75.67,71,100,7.18,SD,1661731464
Paramonga,-10.6667,-77.8333,61.7,85,14,8.39,PE,1661731464
Ilulissat,69.2167,-51.1,44.62,57,2,9.22,GL,1661731465
Imbituba,-28.24,-48.6703,58.86,64,100,21.59,BR,1661731465
Kupang,-10.1667,123.5833,80.29,68,22,7.49,ID,1661731465
Vila Franca do Campo,37.7167,-25.4333,72.19,85,65,6.76,PT,1661731291
Usvyaty,55.7456,30.7533,63.82,56,100,3.44,RU,1661731466
Airai,-8.9266,125.4092,67.48,60,26,3.71,TL,1661731466
Krosno Odrzańskie,52.0549,15.0988,58.77,77,6,5.19,PL,1661731467
Wakkanai,45.4094,141.6739,69.78,64,75,14.97,JP,1661731467
Atar,20.5169,-13.0499,96.22,22,2,6.73,MR,1661731467
Kruisfontein,-34.0033,24.7314,51.89,82,32,10.76,ZA,1661731342
Alekseyevsk,57.8406,108.3492,43.45,92,94,9.66,RU,1661731310
Touros,-5.1989,-35.4608,75.6,82,15,15.86,BR,1661731468
Nizhnyaya Tavda,57.6731,66.1725,55.24,67,39,6.49,RU,1661731469
Bismarck,46.8083,-100.7837,76.84,47,0,18.41,US,1661731331
Santa Cruz de la Sierra,-17.8,-63.1667,71.06,37,76,18.41,BO,1661731469
Cehegín,38.0924,-1.7985,73.99,66,67,3.31,ES,1661731470
Kahului,20.8947,-156.47,89.62,52,20,25.32,US,1661731470
Bezhetsk,57.7851,36.6965,69.33,34,100,4.63,RU,1661731470
Homa Bay,-0.5273,34.4571,67.55,79,88,2.35,KE,1661731471
Isla Mujeres,21.2311,-86.731,87.17,77,25,8.7,MX,1661731471
Neiafu,-18.65,-173.9833,81.28,69,75,8.05,TO,1661731472
Ourém,39.6417,-8.5919,61.68,89,34,4.03,PT,1661731472
Kiruna,67.8557,20.2251,45.52,81,20,8.05,SE,1661731472
Pisco,-13.7,-76.2167,60.85,82,100,12.66,PE,1661731473
Āwash,8.9833,40.1667,73.76,59,83,7.2,ET,1661731473
Uribia,11.7139,-72.266,87.55,54,49,13.02,CO,1661731473
Haines Junction,60.7522,-137.5108,60.19,45,88,3.56,CA,1661731474
Eunice,30.4944,-92.4176,82.6,81,23,7.11,US,1661731474
College,64.8569,-147.8028,63.07,69,75,6.91,US,1661731475
Tilichiki,60.4667,166.1,49.95,96,100,3.18,RU,1661731475
Ugoofaaru,5.6667,73.0,80.08,83,99,20.18,MV,1661731475
Barra,-11.0894,-43.1417,75.92,40,5,2.62,BR,1661731476
Nara,34.6851,135.8049,80.91,46,26,4.03,JP,1661731476
Husavik,66.0449,-17.3389,50.58,62,100,3.47,IS,1661731477
Broome,42.2506,-75.833,80.02,70,0,5.75,US,1661731477
Bela,25.9333,81.9833,79.61,88,96,5.5,IN,1661731477
Morehead,37.2711,-87.1764,85.75,70,40,3.44,US,1661731478
Ust'-Ishim,57.6935,71.1665,53.01,90,32,6.31,RU,1661731478
Los Llanos de Aridane,28.6585,-17.9182,67.75,86,40,8.05,ES,1661731479
Nānākuli,21.3906,-158.1547,87.75,46,75,12.66,US,1661731479
Ayan,56.45,138.1667,57.02,71,79,5.21,RU,1661731479
Ruteng,-8.6136,120.4721,68.02,66,70,1.41,ID,1661731480
Salto,-31.3833,-57.9667,47.88,64,3,5.99,UY,1661731332
Garachiné,8.0647,-78.3628,76.96,90,100,11.92,PA,1661731480
Port Lincoln,-34.7333,135.8667,54.0,67,51,20.71,AU,1661731256
Leh,34.1667,77.5833,58.1,58,16,6.67,IN,1661731203
Anchorage,61.2181,-149.9003,64.63,79,58,1.99,US,1661731365
Belfort,47.6333,6.8667,65.39,86,29,5.28,FR,1661731481
Gorontalo,0.5412,123.0595,79.97,84,27,1.63,ID,1661731481
Brae,60.3964,-1.353,49.28,80,0,6.96,GB,1661731482
Kununurra,-15.7667,128.7333,78.78,47,5,4.61,AU,1661731482
Marsh Harbour,26.5412,-77.0636,84.18,72,13,12.68,BS,1661731483
Øksfjord,70.2396,22.3479,50.07,95,100,6.53,NO,1661731483
Whitehaven,54.549,-3.5841,62.65,100,100,4.21,GB,1661731343
Rodrigues Alves,-7.738,-72.6509,71.02,90,79,3.69,BR,1661731484
Troitsko-Pechorsk,62.7084,56.1964,54.14,91,63,4.03,RU,1661731484
Miaoli,24.5643,120.8237,84.15,75,47,0.49,TW,1661731485
Xushan,30.1764,121.2457,81.27,75,25,6.42,CN,1661731485
Lixouri,38.2019,20.4314,76.17,84,1,3.96,GR,1661731485
Carmo do Paranaíba,-19.0008,-46.3161,67.75,48,45,4.25,BR,1661731486
Nador,35.174,-2.9287,79.05,89,20,5.75,MA,1661731486
Curuçá,-0.7289,-47.8481,75.25,92,63,5.39,BR,1661731486
Hobyo,5.3505,48.5268,75.34,85,51,23.09,SO,1661731487
Vila Velha,-20.3297,-40.2925,71.94,91,27,5.01,BR,1661731487
Banting,2.8167,101.5,75.56,92,98,2.01,MY,1661731488
Port-Gentil,-0.7193,8.7815,74.89,82,52,9.53,GA,1661731489
